Product Name,Price,Quantity,Unit,Unit Price,UID
365 by Whole Foods Market Organic Green Beans,$3.49,16.0,oz,$0.22,3d9a7fc9
Red Raspberries,$3.49,0.375,lb,$9.31,a2cf8004
365 by Whole Foods Market Almond Milk Unsweetened,$3.49,64.0,oz,$0.05,1f4f0e2e
365 Everyday Value Organic Red Potatoes,$3.45,3.0,lb,$1.15,39a827e0
Yellow Onion,$3.39,18.0,oz,$0.19,11199a50
Amazon Brand - Happy Belly Sliced Strawberries,$3.39,16.0,oz,$0.21,c1ee01b4
Honeydew Melon,$3.37,4.55,oz,$0.74,71a1fe59
Amazon Fresh Brand Russet Potatoes,$3.29,5.0,lb,$0.66,70bd97e0
Blackberries,$3.29,0.375,lb,$8.77,72b09045
Cantaloupe Melon,$3.29,3.13,lb,$1.05,f68cc9f2
Morton Sea Salt Coarse,$3.29,17.6,oz,$0.19,5353ff93
365 by Whole Foods Market Mixed Vegetables,$3.19,16.0,oz,$0.20,63706b22
365 by Whole Foods Market Green Peas,$3.19,16.0,oz,$0.20,5a5ac3b8
Organic Celery Hearts,$3.19,1.0,lb,$3.19,204294b6
365 by Whole Foods Market White Sweet Corn,$3.19,16.0,oz,$0.20,23570e0a
365 by Whole Foods Market Green Olives,$3.19,6.0,oz,$0.53,810973a7
Sprite Zero 2 Liter,$3.19,67.6,oz,$0.05,4a6eb2d7
365 by Whole Foods Market Chopped Spinach,$2.99,16.0,oz,$0.19,943f77de
365 by Whole Foods Market Chopped Kale,$2.99,16.0,oz,$0.19,be869877
Amazon Fresh Brand Cherry Tomatoes,$2.99,10.0,oz,$0.30,87ad2c48
Amazon Brand - Happy Belly Tropical Fruit Mix,$2.99,16.0,oz,$0.19,a66384fc
365 by Whole Foods Market Organic Low Sodium Broth,$2.99,32.0,oz,$0.09,5ca2bf48
365 by Whole Foods Market Organic Chicken,$2.99,32.0,oz,$0.09,f7f02a8c
Taylor Farms Classic Garden Salad,$2.99,0.75,lb,$3.99,86f17eb0
Gatorlyte Rapid Rehydration Orange,$2.99,20.0,oz,$0.15,0b93c2d8
365 by Whole Foods Market Baby Spinach,$2.99,6.0,oz,$0.50,3c8444ac
Amazon Fresh Jasmine Long Grain Rice,$2.89,32.0,oz,$0.09,ad5a9c62
Morton McCormick Iodized Salt & Pepper,$2.69,5.25,oz,$0.51,e5956a8a
Amazon Fresh Multigrain Sandwich Bread,$2.69,24.0,oz,$0.11,a405d396
Amazon Brand - Happy Belly Protein Chewy Bars,$2.59,6.0,Count,$0.43,167b3b1c
Mixed Nuts,$2.59,10.0,oz,$0.26,439fef44
Amazon Brand - Happy Belly Protein Chewy Bars,$2.59,6.0,Count,$0.43,8a99fe9e
Beef Broth,$2.59,32.0,oz,$0.08,77e26893
Lindt EXCELLENCE 70% Dark Chocolate,$2.58,3.5,oz,$0.74,a2796722
Lindt EXCELLENCE 90% Dark Chocolate,$2.58,3.5,oz,$0.74,d63fc1fe
Lindt Excellence Sea Salt Bar,$2.58,3.5,oz,$0.74,13db8aa5
Goya Pinto Beans Dry,$2.49,16.0,oz,$0.16,1399aaad
Amazon Fresh Brand Original Unsweetened Almond Milk,$2.49,64.0,oz,$0.04,79dfe247
Amazon Fresh Steamable Butternut Squash,$2.39,12.0,oz,$0.20,15c761ed
Amazon Brand - Happy Belly Swiss Cheese Block,$2.39,8.0,oz,$0.30,6fb7726a
S.Pellegrino Sparkling Natural Mineral Water,$2.39,33.8,oz,$0.07,cedc04c0
SAN PELLEGRINO Sparkling Mineral Water,$2.39,33.8,oz,$0.07,9242af9f
Goya Adobo All Purpose Seasoning,$2.29,8.0,oz,$0.29,ac6d7627
Amazon Kitchen Peanut Butter & Chocolate Chip Cookie,$2.29,3.0,Count,$0.76,29a17fcd
Amazon Fresh Small Curd Cottage Cheese,$2.29,16.0,oz,$0.14,4df8d2cb
Maruchan Ramen Noodles Chicken Flavor,$2.19,18.0,oz,$0.12,77488592
Amazon Brand - Happy Belly Chopped Spinach,$1.99,16.0,oz,$0.12,bf2a6026
Amazon Brand - Happy Belly Frozen Edamame,$1.99,16.0,oz,$0.12,78e26c2a
Amazon Brand - Happy Belly Frozen Chopped Vegetables,$1.99,16.0,oz,$0.12,94391e25
Fresh Celery,$1.99,1.3,lb,$1.53,b7f54156
365 by Whole Foods Market Organic Angel Hair Pasta,$1.99,16.0,oz,$0.12,7622803a
Amazon Fresh Chili Sauce,$1.99,12.0,oz,$0.17,d3525ca6
Amazon Fresh Brand Whole Carrots,$1.89,2.0,lb,$0.95,4c7c53c7
365 by Whole Foods Market Organic Raisins,$1.89,0.58,lb,$3.25,bea02d01
Canada Dry Club Soda,$1.89,33.8,oz,$0.06,e6399efa
Amazon Grocery Enriched White Long Grain Rice,$1.89,32.0,oz,$0.06,21e15202
Organic Cucumber,$1.79,0.55,lb,$3.25,413b5f4e
Navel Orange,$1.79,1.75,each,$1.02,df57e90d
StarKist Tuna Creations Lemon Pepper,$1.79,2.6,oz,$0.69,2bc374c7
Amazon Brand - Happy Belly Frozen California Blend,$1.59,16.0,oz,$0.10,207e4032
Amazon Brand - Happy Belly Frozen Cauliflower,$1.59,16.0,oz,$0.10,fb00c334
Amazon Brand - Happy Belly Frozen Brussels Sprouts,$1.59,16.0,oz,$0.10,71011c1f
Amazon Brand - Happy Belly Frozen Broccoli,$1.59,16.0,oz,$0.10,8a459777
365 by Whole Foods Market Organic Carrots,$1.49,16.0,oz,$0.09,48f76628
Amazon Fresh Seltzer Water,$1.49,33.8,oz,$0.04,b52bdb94
Medium Hass Avocado,$1.49,6.5,oz,$0.23,583c5b4b
365 by Whole Foods Market Organic Black Beans,$1.49,15.0,oz,$0.10,c745a23e
Amazon Fresh Beef Broth,$1.49,32.0,oz,$0.05,ee8e2275
Amazon Brand - Happy Belly Mixed Vegetables,$1.39,16.0,oz,$0.09,e86e739d
Amazon Brand - Happy Belly Green Peas,$1.39,16.0,oz,$0.09,0532348c
Amazon Brand - Happy Belly Frozen Green Beans,$1.39,16.0,oz,$0.09,5d4871ae
Amazon Fresh Rigatoni Pasta,$1.19,16.0,oz,$0.07,d50d2b02
Green Cabbage,$1.19,0.54,each,$2.20,225c0b62
Amazon Fresh Brand Whole Carrots,$0.89,1.0,lb,$0.89,0bae19a8
Amazon Brand - Happy Belly Seltzer Water,$0.89,33.8,oz,$0.03,5076beaa
Amazon Fresh Great Northern Beans,$0.89,15.5,oz,$0.06,f2b88bf2
Cucumber,$0.79,0.7,lb,$1.13,8606cec8
Organic Banana Bunch,$0.69,0.56,lb,$1.23,b69cb6c2
Banana Bunch,$0.49,0.58,lb,$0.84,211fd724
Lime,$0.39,0.2,lb,$1.95,6732fefe
