Product Name,Price,Quantity,Unit,Unit Price
Honeydew Melon,$3.37,4.55,oz,$0.74
Amazon Fresh Brand Russet Potatoes,$3.29,5,lb,$0.66
Blackberries,$3.29,0.375,lb,$8.77
Cantaloupe Melon,$3.29,3.13,lb,$1.05
Morton Sea Salt Coarse,$3.29,17.6,oz,$0.19
365 by Whole Foods Market Mixed Vegetables,$3.19,16,oz,$0.20
365 by Whole Foods Market Green Peas,$3.19,16,oz,$0.20
Organic Celery Hearts,$3.19,1,lb,$3.19
365 by Whole Foods Market White Sweet Corn,$3.19,16,oz,$0.20
365 by Whole Foods Market Green Olives,$3.19,6,oz,$0.53
Sprite Zero 2 Liter,$3.19,67.6,oz,$0.05
365 by Whole Foods Market Chopped Spinach,$2.99,16,oz,$0.19
365 by Whole Foods Market Chopped Kale,$2.99,16,oz,$0.19
Amazon Fresh Brand Cherry Tomatoes,$2.99,10,oz,$0.30
Amazon Brand - Happy Belly Tropical Fruit Mix,$2.99,16,oz,$0.19
365 by Whole Foods Market Organic Low Sodium Broth,$2.99,32,oz,$0.09
365 by Whole Foods Market Organic Chicken,$2.99,32,oz,$0.09
Taylor Farms Classic Garden Salad,$2.99,0.75,lb,$3.99
Gatorlyte Rapid Rehydration Orange,$2.99,20,oz,$0.15
365 by Whole Foods Market Baby Spinach,$2.99,6,oz,$0.50
Amazon Fresh Jasmine Long Grain Rice,$2.89,32,oz,$0.09
Morton McCormick Iodized Salt & Pepper,$2.69,5.25,oz,$0.51
Amazon Fresh Multigrain Sandwich Bread,$2.69,24,oz,$0.11
Amazon Brand - Happy Belly Protein Chewy Bars,$2.59,6,Count,$0.43
Mixed Nuts,$2.59,10,oz,$0.26
Amazon Brand - Happy Belly Protein Chewy Bars,$2.59,6,Count,$0.43
Beef Broth,$2.59,32,oz,$0.08
Lindt EXCELLENCE 70% Dark Chocolate,$2.58,3.5,oz,$0.74
Lindt EXCELLENCE 90% Dark Chocolate,$2.58,3.5,oz,$0.74
Lindt Excellence Sea Salt Bar,$2.58,3.5,oz,$0.74
Goya Pinto Beans Dry,$2.49,16,oz,$0.16
Amazon Fresh Brand Original Unsweetened Almond Milk,$2.49,64,oz,$0.04
Amazon Fresh Steamable Butternut Squash,$2.39,12,oz,$0.20
Amazon Brand - Happy Belly Swiss Cheese Block,$2.39,8,oz,$0.30
S.Pellegrino Sparkling Natural Mineral Water,$2.39,33.8,oz,$0.07
SAN PELLEGRINO Sparkling Mineral Water,$2.39,33.8,oz,$0.07
Goya Adobo All Purpose Seasoning,$2.29,8,oz,$0.29
Amazon Kitchen Peanut Butter & Chocolate Chip Cookie,$2.29,3,Count,$0.76
Amazon Fresh Small Curd Cottage Cheese,$2.29,16,oz,$0.14
Maruchan Ramen Noodles Chicken Flavor,$2.19,18,oz,$0.12
Amazon Brand - Happy Belly Chopped Spinach,$1.99,16,oz,$0.12
Amazon Brand - Happy Belly Frozen Edamame,$1.99,16,oz,$0.12
Amazon Brand - Happy Belly Frozen Chopped Vegetables,$1.99,16,oz,$0.12
Fresh Celery,$1.99,1.3,lb,$1.53
365 by Whole Foods Market Organic Angel Hair Pasta,$1.99,16,oz,$0.12
Amazon Fresh Chili Sauce,$1.99,12,oz,$0.17
Amazon Fresh Brand Whole Carrots,$1.89,2,lb,$0.95
365 by Whole Foods Market Organic Raisins,$1.89,0.58,lb,$3.25
Canada Dry Club Soda,$1.89,33.8,oz,$0.06
Amazon Grocery Enriched White Long Grain Rice,$1.89,32,oz,$0.06
Organic Cucumber,$1.79,0.55,lb,$3.25
Navel Orange,$1.79,1.75,each,$1.02
StarKist Tuna Creations Lemon Pepper,$1.79,2.6,oz,$0.69
Amazon Brand - Happy Belly Frozen California Blend,$1.59,16,oz,$0.10
Amazon Brand - Happy Belly Frozen Cauliflower,$1.59,16,oz,$0.10
Amazon Brand - Happy Belly Frozen Brussels Sprouts,$1.59,16,oz,$0.10
Amazon Brand - Happy Belly Frozen Broccoli,$1.59,16,oz,$0.10
365 by Whole Foods Market Organic Carrots,$1.49,16,oz,$0.09
Amazon Fresh Seltzer Water,$1.49,33.8,oz,$0.04
Medium Hass Avocado,$1.49,6.5,oz,$0.23
365 by Whole Foods Market Organic Black Beans,$1.49,15,oz,$0.10
Amazon Fresh Beef Broth,$1.49,32,oz,$0.05
Amazon Brand - Happy Belly Mixed Vegetables,$1.39,16,oz,$0.09
Amazon Brand - Happy Belly Green Peas,$1.39,16,oz,$0.09
Amazon Brand - Happy Belly Frozen Green Beans,$1.39,16,oz,$0.09
Amazon Fresh Rigatoni Pasta,$1.19,16,oz,$0.07
Green Cabbage,$1.19,0.54,each,$2.20
Amazon Fresh Brand Whole Carrots,$0.89,1,lb,$0.89
Amazon Brand - Happy Belly Seltzer Water,$0.89,33.8,oz,$0.03
Amazon Fresh Great Northern Beans,$0.89,15.5,oz,$0.06
Cucumber,$0.79,0.7,lb,$1.13
Organic Banana Bunch,$0.69,0.56,lb,$1.23
Banana Bunch,$0.49,0.58,lb,$0.84
Lime,$0.39,0.2,lb,$1.95
