UID,Amazon Name,Original USDA Name,Final USDA Name,Original Match Confidence,Final Match Confidence
8a459777,Amazon Brand - Happy Belly Frozen Broccoli,"HAPPY BELLY MIX, HAPPY BELLY","Broccoli, frozen, unprepared",0.25,0.9
207e4032,Amazon Brand - Happy Belly Frozen California Blend,"HAPPY BELLY MIX, HAPPY BELLY","Vegetables, mixed, frozen, unprepared",0.2222222222222222,0.9
ee8e2275,Amazon Fresh Beef Broth,"Soup, beef broth or bouillon, powder, dry","Beef broth, ready-to-serve",0.2222222222222222,0.9
e86e739d,Amazon Brand - Happy Belly Mixed Vegetables,"HAPPY BELLY MIX, HAPPY BELLY","Mixed vegetables, frozen, unprepared",0.25,0.9
48f76628,365 by Whole Foods Market Organic Carrots,"365 EVERYDAY VALUE, ORGANIC MAYONNAISE","Carrots, raw",0.5,0.9
0532348c,Amazon Brand - Happy Belly Green Peas,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Peas, green, frozen, unprepared",0.4818181818181818,0.9
5d4871ae,Amazon Brand - Happy Belly Frozen Green Beans,"ORGANIC HAPPY BELLY WITH PROBIOTICS JUICE, HAPPY BELLY","Beans, snap, green, frozen, unprepared",0.4666666666666667,0.9
f2b88bf2,Amazon Fresh Great Northern Beans,"GREAT NORTHERN BEANS, GREAT NORTHERN","Beans, great northern, mature seeds, canned",0.3333333333333333,0.9
8606cec8,Cucumber,Cucumber and vegetable namasu,"Cucumber, with peel, raw",0.25,0.9
211fd724,Banana Bunch,"BANANA BUNCHES WITH ALMONDS CEREAL, BANANA BUNCHES WITH ALMONDS","Bananas, raw",0.4666666666666667,0.95
