,canned_tuna,frozen_cherries,frozen_cranberries,frozen_edamame,great_northern_beans,jasmine_rice,mixed_nuts,peanut_butter,pinto_beans,raisins,white_rice,almond_butter,black_beans,frozen_breakfast_sandwich,frozen_pizza,granola_bar,chips,feta_cheese,fresh_celery,frozen_broccoli,frozen_cauliflower,frozen_peas,chopped_kale,frozen_green_beans,broth,chicken_breast,chocolate,frozen_chopped_spinach,pasta,cherry_tomatoes,ground_beef,blueberries,dates,grapes
23,,,,,"{'servings': 108, 'packages': 27}",,,,"{'servings': 36, 'packages': 9}",,,,,,,,,,,,,,,,"{'servings': 8, 'packages': 2}","{'servings': 6, 'packages': 2}",,,,,,"{'servings': 2, 'packages': 1}","{'servings': 9, 'packages': 1}","{'servings': 5, 'packages': 1}"
24,"{'servings': 6, 'packages': 6}",,,,,"{'servings': 40, 'packages': 2}",,,"{'servings': 20, 'packages': 5}",,,,,,,,"{'servings': 25, 'packages': 5}",,,,,,,,"{'servings': 8, 'packages': 2}",,,,"{'servings': 8, 'packages': 1}",,,,"{'servings': 27, 'packages': 3}",
25,"{'servings': 1, 'packages': 1}",,,"{'servings': 65, 'packages': 13}",,,,,,"{'servings': 14, 'packages': 2}",,,,"{'servings': 32, 'packages': 4}",,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
